V1,V2
2141,257
367,2048
2260,1141
1997,235
295,1388
972,294
248,2100
360,2113
1426,433
1991,2002
396,2114
2441,503
1374,1738
832,1310
2009,474
302,2071
1052,1202
131,1311
1919,893
288,77
45,118
457,11
303,2167
597,756
1340,279
675,1453
220,2187
1450,862
165,1359
251,2154
665,85
345,1419
149,1265
633,1074
2492,718
1628,2243
955,167
1057,1585
2285,1550
257,1170
382,2093
1970,2428
315,2220
1342,1183
314,2165
560,1451
125,1485
342,1357
932,447
341,1391
1968,2426
311,128
1611,676
2008,863
249,1526
1075,385
564,2064
289,2100
138,301
829,936
358,2256
1130,1369
267,1429
1369,1293
1220,1826
55,1218
339,809
1009,298
1150,849
365,1502
2437,2485
452,2014
252,1710
366,2235
1869,1411
384,1667
698,1882
79,1200
365,1263
545,1551
1025,1304
632,890
282,1228
1097,236
1894,1581
478,284
940,2160
243,2046
142,1210
1173,791
2170,51
697,220
341,1730
2220,1079
1065,1630
806,1488
370,2437
326,2119
250,2237
986,1110
887,2452
380,2045
478,1883
1260,2012
364,2246
124,315
396,2188
339,2204
984,1728
503,814
2283,1068
388,2095
224,2229
1414,1645
253,2173
2139,980
1689,2057
156,189
1744,2169
1665,729
824,1971
567,19
658,1331
394,2202
585,635
2438,1401
459,2303
804,2180
120,1053
1509,318
182,1437
2068,2490
1102,1941
242,2089
176,1143
238,2184
260,1555
356,2091
2168,1989
99,1314
331,2029
2379,1890
381,2119
176,411
2344,765
425,1318
2385,949
1245,423
351,2158
1025,2348
94,579
1255,1159
2026,2004
235,2152
258,2124
2146,650
253,1331
2332,1995
330,2012
1303,2004
215,656
2448,1908
454,977
2208,253
2493,840
526,262
762,2167
280,1375
379,1376
259,262
399,2226
764,1881
1844,394
2314,2105
1028,2179
454,1395
967,634
241,2420
1978,2020
214,1768
606,1217
2143,2241
1034,1448
451,1490
266,1306
1429,287
2455,2147
159,1436
679,1596
386,2026
622,1370
299,2245
310,1558
2023,2365
1594,2228
334,1755
203,1689
839,1571
1871,1190
410,1441
847,1415
387,1361
817,1970
289,2208
212,1216
1256,1115
1057,1863
618,1961
363,2044
212,1016
1946,893
1244,1575
2394,1109
