V1,V2
78,1318
1916,687
1293,2043
1051,2007
677,1104
54,2073
455,2060
174,1331
787,1969
186,1459
827,102
945,2429
2268,131
972,1777
178,1239
339,489
556,2188
633,1594
311,302
181,1316
513,2200
451,621
326,2391
1577,1478
2481,840
935,2144
975,2046
253,681
55,1428
847,448
581,240
1786,1955
123,1409
2496,2080
456,404
184,1475
1396,2081
1556,1320
400,474
422,2001
263,1859
1610,1609
2208,1447
102,1384
1325,2488
44,1267
250,546
1539,2068
362,2051
865,351
654,138
170,1432
638,1236
1064,2030
51,1205
839,171
840,885
1944,1375
1582,1910
1594,1779
34,1341
66,810
466,205
2491,860
2475,438
144,1254
2390,2331
761,416
860,999
1290,210
1254,1164
139,1290
2321,1081
1002,361
1165,2194
156,523
1466,1316
1504,2153
12,1534
1447,1607
615,211
965,2051
474,981
109,1375
2248,559
2431,1410
24,1400
893,82
1489,754
1777,192
245,2080
2196,2012
247,2107
2090,714
995,490
2030,311
2136,1206
78,2234
349,614
332,2042
2207,1121
950,1230
1022,2075
1036,109
341,607
409,2061
2495,2331
609,430
46,1295
2353,584
1035,2056
47,1222
2279,831
259,552
2472,1249
1519,1959
234,1254
10,2495
1274,734
2144,2120
528,2364
1921,2247
1799,2487
317,983
59,739
108,1488
133,1811
2215,1098
285,1298
1603,545
840,1193
1799,213
506,480
1383,1652
842,2033
116,1558
1259,2074
1828,2386
2397,390
1351,739
28,1506
1247,2031
2498,1414
1234,1679
1697,2162
1263,1154
885,2064
903,2397
720,1984
1478,1058
2182,81
221,1841
1967,1628
1298,2386
1982,1392
2203,2386
598,2042
1910,2400
532,111
458,1209
94,1157
160,1391
106,2219
103,2255
246,2072
797,779
991,2108
22,1377
1950,1761
1192,2006
208,1376
1056,1760
1319,830
647,1666
2353,986
2254,516
1013,1778
265,357
668,465
995,1118
41,844
1903,1579
101,1498
828,2229
764,1869
964,2005
1541,539
1188,2020
246,2250
903,2002
1975,1453
2486,761
1684,2361
762,2067
21,68
924,1973
953,1490
1321,1094
1297,1589
2368,2175
1902,1351
525,1383
340,2026
603,2001
1021,215
1438,285
51,1776
1512,1428
406,20
1545,70
191,1401
2035,500
2223,435
114,1248
439,89
831,1191
1133,2050
1298,2034
18,1553
783,834
2017,2009
678,2036
294,2036
756,15
1977,1212
367,1248
85,1415
1298,2028
835,345
1763,691
47,1387
726,83
77,1439
130,1365
952,2000
1632,968
1183,2078
1538,323
1425,496
2277,628
394,2042
159,1404
253,2033
1866,1314
2238,2293
232,769
727,2005
865,486
931,140
2311,330
382,2046
1131,2000
978,2036
654,2047
1421,391
536,2046
542,723
2408,294
2154,325
2040,1566
22,222
395,2047
620,2310
1265,1698
511,1437
454,2332
1184,2019
334,686
196,1354
1386,1221
857,2081
900,2412
1712,101
946,2025
487,871
1249,1898
742,2012
2348,2398
27,1543
758,330
1732,10
712,752
177,1310
2307,421
89,1491
903,827
484,2484
279,585
191,1326
70,2265
1609,1880
1422,1326
1759,2477
996,159
853,1062
2327,25
2245,2264
988,2032
131,1355
644,711
1130,2039
1985,1914
75,1383
389,2079
192,2476
1119,2462
188,18
223,2222
2222,1636
1143,2015
1589,1228
2108,390
1685,97
627,1025
486,874
904,273
432,252
1215,2017
292,157
473,2083
198,1898
1304,553
498,2027
2147,889
2355,1547
528,1052
946,1202
1984,2343
1268,2069
19,1350
696,2074
937,1725
2429,1373
2480,147
472,2033
206,2016
1850,1268
839,930
758,683
659,2441
368,2085
26,1238
650,2065
190,1328
805,2029
25,585
1671,1169
560,438
2321,2353
918,1165
983,2420
796,891
120,1491
56,1298
13,1324
640,505
773,2028
1862,578
1212,1882
1214,1693
334,496
99,1478
156,1366
550,2006
1426,2204
2231,1186
181,1307
544,2069
1041,99
88,1202
662,1332
1021,2023
1695,1951
1015,110
587,1063
2120,987
995,304
444,1941
2460,104
1918,755
2391,637
62,1313
421,1359
1200,1084
1149,1119
2187,2478
1119,2062
700,401
39,945
677,688
2446,760
908,2048
1684,2142
583,1702
2291,112
658,668
912,2472
400,1823
504,2052
209,1560
716,2029
1482,2448
506,387
1876,2481
1591,2307
185,1206
595,2490
2019,1655
925,2060
629,943
2118,28
1314,90
998,992
464,437
263,1415
346,101
2137,1895
148,1313
643,2024
1031,615
975,1028
985,698
1337,354
178,2450
778,695
357,2244
723,2009
2383,994
1995,1006
984,2002
856,625
907,988
1290,76
197,1285
574,2049
1124,253
526,639
2215,1615
809,2033
2256,126
950,2019
2286,1400
1276,1415
237,1806
71,1766
319,1703
1434,1860
89,1338
950,330
1809,2094
1082,2105
98,1317
1482,1842
1119,499
911,25
215,1201
583,121
1943,1534
1153,2023
770,1131
1684,1380
1439,2183
570,811
1134,2033
552,1157
732,2417
217,1314
1581,1949
2296,180
2322,290
1200,852
211,793
1339,1187
220,2087
48,1471
362,561
1130,2041
2302,529
792,200
161,1174
1497,2352
98,1224
871,2234
223,51
67,1272
2286,1936
2011,209
1441,2364
36,1396
7,2120
178,887
99,1331
260,2075
70,1487
119,1494
45,1337
1135,1145
255,1204
706,267
1626,1022
1333,2090
201,1210
1635,1015
203,1349
102,1467
1052,2021
2139,1371
1035,2017
1084,2409
717,316
107,1213
948,160
654,592
1056,699
369,2086
543,1680
55,1256
1128,2084
393,848
469,1029
599,492
92,1300
1072,1151
2150,472
31,1436
672,1002
1389,297
232,2081
370,1079
971,1678
113,1213
696,505
2491,2367
2181,1759
1115,2039
1956,1153
1269,525
591,470
2217,226
637,1584
2397,1656
2411,1496
2318,1840
2268,8
670,1497
40,1282
681,1239
1817,1394
853,99
2111,1896
1502,1526
1283,1016
524,581
194,1560
887,838
216,163
483,274
231,1237
102,1569
159,1275
882,942
397,987
492,67
654,2005
456,2426
687,777
1963,1728
1075,509
1465,1590
1695,1930
1806,450
1312,1403
561,302
601,1187
130,2088
1998,2263
801,2028
2019,1786
1723,1887
147,1453
1277,2008
830,2342
1968,0
2500,1278
2500,1174
500,553
609,1397
727,1022
582,321
198,1360
158,1616
2042,2428
206,1409
1847,145
2462,356
1,1254
1424,1130
1526,586
351,271
2210,1293
583,755
359,1483
388,2062
1197,882
375,46
218,1501
129,1555
2026,1607
1446,1151
163,1261
840,434
499,409
317,2082
794,2044
436,971
2349,2455
503,2024
843,2039
323,2009
46,1230
353,792
2241,806
245,2486
2378,329
822,2071
170,566
971,2031
1496,440
1846,732
523,230
375,2002
994,573
81,1495
448,2290
1216,2021
26,1206
1082,336
48,1426
2028,1615
840,1133
1626,2335
2405,1269
310,1442
14,1555
518,2004
529,2028
816,1393
1538,1918
336,1179
1047,1813
826,1984
1624,762
180,182
1910,1399
263,2254
932,939
85,1297
115,1520
46,1275
185,1481
619,760
241,441
72,1338
2134,875
448,979
1157,1161
984,2084
1338,431
106,1561
329,1442
112,1474
484,518
460,1809
1133,1302
324,934
423,1528
904,2019
590,1007
535,582
521,756
788,405
1746,710
734,1509
1891,913
290,650
239,2052
629,809
1136,602
664,1117
658,2374
796,2022
423,1767
1202,879
2412,821
1034,17
2357,974
1009,799
2310,947
2070,2251
992,1460
187,1361
1610,1477
1848,771
562,491
1217,401
2121,1759
2402,1021
2215,1984
1830,285
119,1544
1147,655
203,415
597,1786
273,596
61,2258
1206,610
587,808
695,2015
218,1265
52,1535
1410,796
2216,2320
221,2027
384,889
199,1336
941,2041
642,2006
1135,2009
624,510
2350,1641
717,1113
976,1382
281,1063
920,1405
689,2013
706,2040
771,754
51,1367
1600,2141
847,279
96,1400
60,341
1834,1376
993,1236
1269,1517
81,1567
2430,1200
1203,1092
1265,84
1711,241
38,1535
1242,1724
596,2078
787,1982
1226,2111
697,683
114,1421
1520,1614
867,2016
1009,909
899,2083
131,1292
275,399
996,670
1585,2376
1435,1865
1167,137
1555,1656
24,1518
676,1063
2157,1291
597,2330
103,1375
94,1325
178,1443
929,576
948,2013
1020,1132
1358,1111
2104,1148
625,2018
487,2029
361,1232
314,163
931,134
1457,1207
701,1959
1905,771
82,1330
940,641
2399,1295
715,1038
162,356
47,1424
1028,675
1169,2022
919,2049
549,253
223,454
2470,11
1168,264
627,2036
160,530
109,1265
108,1446
1490,2208
620,2082
136,2175
586,2068
1283,2094
788,1180
286,2059
371,1361
1490,457
133,853
501,127
270,1480
914,135
194,1385
457,1308
15,1521
578,1739
834,788
578,2309
1884,384
1259,1219
1985,2391
1144,2084
1065,2046
2291,1253
526,2052
69,1403
1483,2320
1502,2370
862,2011
1102,2377
517,2027
441,2078
2484,431
987,105
480,336
1560,31
743,1044
562,2082
137,1441
119,1301
618,113
613,302
1685,1179
767,459
123,1548
212,2043
217,2065
405,951
1125,2009
1054,2075
2471,383
2278,710
152,1201
1066,1626
1400,978
2065,2210
250,236
73,322
331,230
317,1299
1062,2442
668,1308
164,1561
2328,1213
138,1296
1950,319
96,1401
1602,1347
1199,2017
792,975
595,2042
199,1268
218,1267
265,1399
1202,2031
33,1208
274,2051
1085,1457
27,43
77,1389
71,1413
1422,315
796,2001
200,1437
909,965
136,1516
457,2061
536,588
169,1285
607,781
1127,2044
1001,603
792,2028
355,2087
1297,1250
28,1338
375,1479
1113,507
335,2028
494,147
551,2064
337,2084
1703,1195
208,2236
334,949
1479,785
75,1375
820,2465
1018,34
319,2048
1,1472
1143,605
989,2191
1723,107
1334,633
23,1442
1389,2082
786,2084
1783,2127
807,1297
832,2369
897,2002
2089,157
316,617
2404,1653
2245,660
1124,2052
1167,1771
214,921
2082,945
1419,2260
1597,2405
145,1488
187,1253
164,1296
1534,763
2070,103
65,1464
1931,2197
1089,2306
1293,2031
1683,195
436,2025
1359,234
526,812
973,1256
134,1374
525,350
2490,1967
2180,1110
126,1350
385,30
2357,2266
687,462
745,852
1781,2184
64,1249
2080,835
127,1259
2194,1859
955,364
1909,306
134,1485
761,1243
1542,242
763,2067
548,1317
1073,2053
265,288
1407,2342
208,579
896,439
1349,907
628,1211
511,55
103,1413
100,1254
380,1424
68,1827
1392,1733
4,522
1483,744
1829,1908
427,734
2084,2418
290,719
208,490
352,274
1687,965
1301,1
952,630
790,2031
257,1094
638,752
809,629
280,2046
598,220
1397,1015
52,752
111,2086
2388,923
139,1544
1583,1366
987,2328
226,478
95,1375
1853,1292
428,1134
1581,2266
472,867
974,1949
710,518
1864,288
231,1140
2357,2069
860,2082
235,1064
1369,1545
953,1782
999,958
857,773
2065,557
658,1255
211,690
1310,1641
197,1549
1454,304
74,1297
202,804
2002,1498
738,815
60,1475
134,1510
203,1412
1102,2467
475,2065
900,1380
2006,2440
1032,1015
128,1370
805,50
212,2053
2435,287
536,1606
2427,1140
187,1390
478,2042
1429,284
2322,2391
1011,1152
474,347
675,2285
1741,1206
2013,1628
1512,2211
332,825
296,543
699,2480
246,2059
1137,1145
206,1394
2335,735
2303,229
1356,1062
751,867
845,2072
2270,2466
789,1535
837,1834
2285,1959
180,1546
592,1063
2308,2350
622,836
564,2248
2355,1475
2070,37
1857,1018
671,2262
370,977
733,13
1184,1901
1730,739
636,1356
1709,2324
558,113
807,2029
73,1423
540,1414
289,2024
2215,1856
860,2371
687,2083
1026,2033
428,509
118,1405
588,2015
298,653
1650,278
2235,1161
295,1381
1449,560
726,321
195,1445
300,883
584,2026
1178,898
166,1380
963,1056
134,1061
189,1201
120,1356
568,2078
140,1481
1991,635
2172,1274
1105,2019
1971,1094
533,155
405,996
2315,2308
1163,1314
1186,396
1014,1218
500,1004
1316,2447
793,22
1013,788
126,1203
236,742
164,1294
957,1737
1750,2431
984,1172
229,2294
987,687
1772,939
904,2006
141,1313
837,1156
1433,2153
426,1287
145,1302
47,1266
348,2170
231,1238
2061,195
971,906
2121,1210
1692,2115
419,1434
160,2200
1973,2097
986,93
432,376
697,1454
118,1339
211,1250
210,1751
2351,1236
1362,849
1789,2496
862,54
1987,1879
1105,1790
132,1415
67,1317
533,1207
1197,1037
475,1194
1631,1787
1567,1610
744,2300
1100,1157
667,466
582,1197
492,2027
390,2018
225,1054
357,265
265,2072
2009,1456
2267,987
636,2075
111,1421
2328,1864
117,1326
2382,816
1263,805
1302,580
194,1383
919,136
375,536
389,439
839,1995
950,493
2223,2254
760,2079
733,206
946,2061
705,945
