V1,V2
1162,1452
781,736
1503,256
2377,2480
84,1686
643,408
753,951
731,57
1301,2439
589,15
12,1738
2284,2309
198,2078
704,280
2126,2427
1050,2257
46,579
1025,298
1408,617
1463,2237
485,531
2005,2495
1540,2320
2004,2300
1321,659
62,1567
1325,1836
331,1840
281,2110
1812,2452
1749,2037
374,306
1463,2256
870,905
571,2267
649,217
593,2199
340,1634
1272,1157
1431,2427
190,2044
376,521
1852,2303
1849,648
1816,1601
1025,426
1772,1763
2231,2246
2411,2487
2378,1968
2080,2387
2454,2349
857,1911
620,2326
166,1985
2310,505
426,2353
1939,2349
157,2021
191,1863
1836,2407
1027,2471
2341,2300
673,11
1019,1917
1517,1790
1765,2435
1932,841
2336,2481
264,143
2422,1759
409,389
1483,2040
504,723
2262,324
116,1606
462,130
1351,1386
2425,2412
924,366
1285,267
1342,1693
1844,2264
1729,2304
1169,66
747,2235
978,2299
7,2498
512,443
921,2029
825,2451
868,44
1335,2031
188,2064
202,1825
107,1777
1434,95
2483,2422
1090,386
2083,1243
1566,2247
1674,904
1803,716
2358,1684
343,1445
511,525
914,562
808,916
2295,2268
2365,1903
245,1788
170,1436
2210,2456
1874,2107
926,2447
1116,643
623,1254
797,667
1103,2450
96,162
1681,1102
1003,1463
134,1417
2347,2469
1324,999
2244,489
308,342
1613,569
1143,110
2251,137
176,1623
484,21
10,1427
439,5
1119,1153
2496,2475
139,1973
1640,2391
2198,2204
1550,2007
1109,1003
225,1551
741,29
2327,1858
406,48
1268,791
1195,176
1936,206
1393,2274
2332,2291
1472,1471
1730,1098
306,566
688,115
1761,1161
1918,1854
341,1651
718,184
322,1978
364,1252
254,2447
157,1514
1757,2321
1662,1590
1324,2248
347,42
500,182
1239,1872
50,1745
110,1625
737,2114
1851,1071
205,1270
1991,1155
2373,2393
367,1048
770,34
611,1870
370,484
2023,2289
2271,2240
546,129
41,1686
1102,482
1627,1866
201,1415
1129,403
1268,1110
5,958
1265,1529
201,1999
2325,2403
2252,2286
1696,2233
275,1624
2426,2319
362,1913
201,1834
260,1309
275,313
2137,2258
2473,2140
2480,1038
2358,399
1326,1414
1736,2455
2149,2471
742,495
269,1814
1336,861
51,2051
137,1915
2046,1968
1012,1466
41,2001
2289,2381
1797,1605
94,2001
201,330
798,173
